character_id,age,sex,height_cm,weight_kg,strength,reaction,stamina,speed,intelligence,perception,agility,endurance,stress_resistance,luck,panic,fatigue,hunger,thirst,mental_stability,focus,confidence,pain_tolerance,has_flashlight,flashlight_battery,has_knife,has_backpack,has_first_aid_kit,medkit_count,has_water,water_amount,has_food,food_amount,has_radio,level_id,level_difficulty,visibility,entity_density,entity_aggression,resource_density,maze_complexity,geometry_stability,spawn_area_danger,distance_to_nearest_entity,noise_generated,time_since_last_encounter,special_rule,survived_24h,survival_time_hours,escape_probability
11,35,M,178.1,85.9,53.75,25.38,53.54,49.81,55.79,54.32,28.43,28.74,45.62,72.19,10.04,12.69,8.52,15.73,34.03,46.45,19.16,23.21,1,44.68,1,1,1,3,1,4.14,1,8.18,1,0,4.4,72.57,36.67,16.91,80.89,29.44,72.57,16.91,79.35,6.96,70.94,none,1,231.6,83.1
12,36,M,189.6,105.0,96.45,9.25,87.26,100.0,69.63,22.34,22.43,17.09,18.26,25.6,5.79,20.96,32.69,37.95,13.82,68.99,1.32,22.46,1,36.0,1,1,1,2,1,2.51,0,0.0,1,end,4.76,56.82,65.3,6.72,44.56,73.17,56.82,6.72,45.06,4.45,69.78,trap_exit,0,142.83,57.44
13,34,M,193.8,102.0,70.22,29.89,71.03,52.55,47.75,55.07,40.08,38.96,56.15,45.74,13.52,19.42,18.02,21.43,37.31,46.85,4.28,34.84,1,30.01,0,0,0,0,1,2.69,1,5.12,1,7,5.5,79.02,74.1,42.39,48.6,74.28,79.02,42.39,31.55,10.89,62.02,flooding,1,105.04,47.65
14,34,M,192.1,101.5,70.33,5.22,68.5,66.78,42.48,26.88,18.69,32.7,45.23,69.37,20.24,5.72,0.0,9.12,36.83,35.27,12.8,29.91,1,47.01,1,1,1,4,1,5.0,1,10.0,0,1,5.37,90.03,6.74,4.65,100.0,28.04,90.03,4.65,115.85,5.42,71.81,none,1,206.42,75.92
15,34,F,158.5,72.6,14.0,17.69,11.04,16.37,39.14,53.4,1.0,5.06,79.69,76.64,1.41,53.12,22.33,32.97,58.37,38.74,9.93,7.95,1,31.29,0,1,1,3,1,3.67,0,0.0,1,1,4.72,74.29,32.62,8.08,70.43,57.88,74.29,8.08,84.01,0.08,70.85,none,0,165.57,71.27
16,26,F,168.3,71.1,32.38,1.0,29.94,37.01,21.83,15.84,7.03,8.64,29.88,67.31,8.26,17.63,11.45,13.96,28.62,15.65,1.77,10.81,0,0.0,0,0,0,0,0,0.0,1,5.47,0,1,5.5,81.71,65.06,45.44,52.29,67.97,81.71,45.44,36.5,4.09,54.6,none,0,88.72,38.61
17,38,F,182.9,102.3,62.16,11.09,57.78,68.88,55.07,16.83,12.17,27.74,34.24,31.49,44.0,27.16,23.52,29.91,17.64,32.0,1.3,20.67,1,36.25,1,0,1,3,1,3.09,0,0.0,1,2,5.5,33.99,52.27,46.31,57.57,74.02,56.64,46.31,45.35,17.27,51.23,none,0,31.36,16.39
18,29,F,168.2,77.2,34.66,41.61,26.17,44.64,32.63,80.63,23.42,42.32,96.54,59.88,0.09,44.67,0.0,14.87,79.73,38.13,4.78,38.0,0,0.0,0,1,1,4,0,0.0,1,10.0,1,4,5.5,81.67,21.97,9.23,100.0,90.22,81.67,9.23,96.91,0.03,71.18,none,1,169.52,70.68
19,40,M,184.8,102.5,73.49,38.6,65.05,76.84,69.09,63.9,36.63,50.65,80.86,40.76,1.69,5.0,4.25,6.7,58.5,66.35,18.99,57.44,1,52.65,1,1,1,3,1,3.84,1,7.56,1,3,5.12,76.31,26.24,9.73,74.32,54.47,76.31,9.73,91.54,1.1,70.89,none,1,212.92,82.7
20,33,M,185.6,90.1,76.94,16.74,74.78,73.86,32.69,74.86,57.26,57.18,75.65,32.52,9.15,19.38,24.88,27.27,28.58,30.13,6.02,56.05,0,0.0,0,1,0,0,1,1.96,0,0.0,0,2,5.5,22.5,55.77,42.13,32.49,65.04,37.51,42.13,55.76,1.12,69.36,none,0,127.51,54.99
21,38,F,189.0,98.0,73.3,55.82,71.56,76.38,78.22,73.01,56.45,11.89,22.22,54.42,33.55,16.08,11.77,23.49,4.44,52.22,3.56,12.81,1,67.17,0,1,1,3,1,4.25,1,8.41,1,5,5.5,26.48,21.7,14.03,83.27,43.73,26.48,14.03,97.24,8.0,71.19,none,1,143.89,62.3
22,27,M,175.2,82.4,49.97,32.42,46.32,47.39,39.16,78.76,37.87,18.27,26.94,67.73,15.52,17.12,4.68,9.78,9.92,33.4,0.71,10.27,1,36.73,0,1,1,4,1,4.3,1,8.53,0,0,5.5,48.04,13.76,6.52,84.47,89.1,48.04,6.52,107.21,3.12,71.61,none,1,139.49,61.6
23,29,F,177.1,78.6,55.71,24.64,44.26,45.29,41.18,59.72,26.21,8.86,22.28,26.75,8.29,36.77,27.05,35.45,21.55,34.44,3.0,12.54,0,0.0,1,1,0,0,1,3.24,1,6.28,1,2,5.5,51.68,62.84,32.14,60.82,61.41,86.13,32.14,45.45,3.15,65.82,none,0,87.07,41.71
24,34,M,186.7,91.3,63.81,18.49,34.8,61.84,62.31,40.27,27.02,19.59,28.95,71.35,9.24,54.68,46.37,52.35,14.81,60.06,0.53,14.84,1,29.65,0,0,1,2,0,0.0,0,0.0,0,2,5.5,36.33,41.74,19.79,39.2,100.0,60.54,19.79,66.41,6.03,63.75,none,1,122.45,45.51
25,25,M,178.7,91.7,60.94,9.26,55.82,67.04,15.93,54.63,34.79,7.83,27.97,33.47,34.01,21.09,22.46,34.65,12.87,9.18,5.98,11.41,1,14.65,1,1,0,0,1,3.79,1,7.44,1,3,4.81,70.7,74.25,46.6,73.06,21.9,70.7,46.6,34.66,24.54,69.63,none,0,120.11,51.75
26,27,F,166.8,74.1,15.79,34.49,19.26,7.56,36.95,83.69,9.32,3.68,35.79,81.13,13.57,54.79,72.39,74.68,5.48,33.44,10.67,4.03,0,0.0,0,0,1,1,1,1.12,1,1.8,0,7,5.4,19.06,71.84,57.34,13.67,17.86,19.06,57.34,38.21,1.94,71.26,flooding,1,233.66,74.92
27,26,M,184.7,95.9,65.67,5.09,62.63,62.51,17.21,40.45,27.93,16.66,36.3,26.17,5.94,4.71,0.0,9.45,8.2,11.87,10.32,18.18,0,0.0,1,1,0,0,1,5.0,1,10.0,0,1,2.27,28.96,46.74,6.66,100.0,13.87,28.96,6.66,68.57,3.08,72.11,none,1,157.39,70.2
28,43,F,183.2,93.9,65.79,11.05,58.25,62.74,55.91,20.51,13.57,29.49,45.48,58.74,0.6,14.89,0.0,9.92,25.75,59.53,2.37,28.21,1,61.9,1,0,1,4,1,5.0,1,10.0,1,4,5.5,58.44,14.54,7.41,100.0,69.61,58.44,7.41,103.16,0.12,69.42,none,1,145.45,74.01
29,33,M,179.6,95.1,63.93,17.59,67.61,65.61,49.67,50.57,29.07,18.77,22.09,80.73,60.89,12.76,5.31,13.41,5.66,18.25,1.93,14.43,0,0.0,1,1,1,4,1,4.48,1,8.9,1,5,5.5,27.1,13.3,7.38,88.41,57.14,27.1,7.38,106.87,17.11,71.0,none,0,113.87,48.24
30,30,F,163.3,72.2,26.27,15.02,14.25,28.27,43.86,23.58,6.73,13.38,53.46,28.74,11.32,58.1,34.99,41.49,24.36,40.63,2.27,10.66,1,25.95,0,1,1,2,1,2.67,1,5.07,0,0,5.5,49.65,36.08,14.53,48.14,73.81,49.65,14.53,75.85,1.89,67.01,none,0,71.31,36.84
31,40,F,186.5,94.1,58.42,23.15,48.06,59.07,70.19,44.69,21.65,28.64,55.78,36.38,30.96,28.7,25.05,32.57,26.74,50.1,9.69,32.91,1,46.39,1,0,1,3,1,3.2,1,6.2,1,5,5.5,44.35,57.19,48.97,60.03,50.22,44.35,48.97,49.04,11.31,62.21,none,0,98.08,44.7
32,32,F,168.7,89.3,31.96,9.13,31.34,26.16,42.68,38.62,7.62,12.93,29.77,84.38,9.57,12.48,7.33,9.45,17.44,38.18,1.88,7.13,1,28.7,1,1,0,0,1,3.16,0,0.0,0,1,5.5,70.67,52.24,18.5,59.09,64.98,70.67,18.5,57.61,6.31,66.6,none,1,153.76,64.57
33,33,F,172.4,88.7,56.28,13.85,33.47,52.37,20.36,62.62,28.76,36.6,66.95,10.04,8.4,70.06,83.96,84.72,30.09,15.62,4.43,33.97,0,0.0,1,0,0,0,1,0.69,0,0.0,1,0,5.5,44.36,34.35,13.72,4.32,63.68,44.36,13.72,81.06,5.6,70.01,none,1,88.41,38.55
34,43,F,180.5,105.0,59.11,48.26,52.26,58.53,88.69,52.38,33.41,60.65,92.94,72.82,5.02,27.98,24.17,31.56,38.73,79.78,11.26,56.91,1,53.24,0,1,1,3,1,3.22,0,0.0,1,end,5.5,43.18,31.0,18.69,60.45,62.88,43.18,18.69,83.37,3.52,68.64,trap_exit,1,212.82,83.51
35,39,F,180.0,100.1,75.91,74.16,70.82,75.05,86.79,75.98,55.91,51.39,70.31,70.22,7.0,11.65,10.09,16.12,36.78,84.64,26.79,53.35,1,69.77,1,1,1,3,1,3.87,1,7.62,0,end,5.08,50.43,31.15,13.57,74.91,47.14,50.43,13.57,86.37,3.57,71.41,trap_exit,1,186.89,90.38
36,36,M,176.8,90.5,54.04,23.07,41.82,32.68,53.82,39.89,21.4,19.29,52.58,42.1,4.83,35.16,21.67,34.89,11.32,52.07,9.4,26.22,1,44.15,0,1,1,3,1,3.89,1,7.65,1,7,3.37,23.17,78.05,12.24,75.31,36.94,23.17,12.24,30.62,1.34,70.55,flooding,1,147.73,66.33
37,42,M,185.9,96.4,71.63,1.0,59.43,67.65,57.06,22.24,17.21,64.99,89.04,84.65,1.04,33.19,36.36,41.84,57.94,52.08,3.34,65.68,1,26.48,0,1,0,0,1,2.43,0,0.0,1,2,5.5,38.68,58.33,18.45,42.97,79.47,64.47,18.45,49.22,0.39,64.17,none,1,142.81,71.5
38,33,M,171.1,80.8,46.62,1.0,54.73,56.54,11.62,30.22,10.22,53.4,93.01,40.47,1.11,25.24,25.81,28.64,58.51,17.87,6.46,47.73,0,0.0,1,0,0,0,1,2.09,0,0.0,1,0,5.5,63.94,53.74,42.97,35.43,60.8,63.94,42.97,50.41,0.68,59.4,none,0,103.52,51.14
39,42,F,174.7,99.3,63.21,15.18,58.34,55.32,71.62,19.29,17.44,20.77,41.38,12.03,0.62,8.26,6.71,10.42,30.81,69.88,10.3,22.77,1,54.08,1,1,1,3,1,3.81,1,7.48,1,6,3.97,18.87,25.4,7.72,73.48,35.62,75.49,7.72,92.59,0.22,70.95,darkness,1,202.62,84.22
40,24,M,176.0,80.7,48.7,15.08,40.86,49.01,35.19,23.73,17.51,19.03,38.18,12.04,8.6,22.05,5.76,11.92,21.53,29.34,0.63,20.01,1,30.69,1,1,0,0,1,4.29,1,8.5,1,3,5.5,53.46,80.05,67.77,84.22,95.92,53.46,67.77,17.0,7.76,36.59,none,1,16.7,12.21
41,28,M,171.5,77.0,49.22,7.29,41.16,48.37,46.76,27.2,8.58,34.52,69.97,62.64,3.95,25.05,20.38,25.46,45.13,36.59,5.87,31.95,0,0.0,0,1,0,0,1,3.0,1,5.77,0,0,5.5,67.33,39.27,28.76,55.48,56.72,67.33,28.76,68.13,1.17,62.87,none,1,108.2,62.37
42,36,F,172.4,89.1,47.18,33.14,43.07,45.06,57.28,47.17,28.74,26.64,54.98,65.46,0.79,24.25,14.28,18.32,20.75,61.2,1.89,20.81,0,0.0,1,1,0,0,0,0.0,1,6.07,1,4,5.5,44.14,50.14,23.39,58.6,83.73,44.14,23.39,58.82,0.61,65.28,none,1,146.78,64.24
43,37,M,182.4,104.4,68.71,7.38,78.42,73.0,27.61,48.62,34.86,36.95,56.94,16.59,8.31,7.06,3.55,6.85,26.46,29.14,2.22,42.09,1,29.86,1,1,1,3,1,4.21,1,8.32,1,0,5.5,44.95,71.24,37.64,82.34,78.01,44.95,37.64,33.66,7.84,60.3,none,1,124.9,45.7
44,36,M,193.0,105.0,87.72,19.07,83.14,87.13,37.35,44.61,34.97,56.04,59.83,31.26,1.36,3.59,4.62,5.83,25.01,36.15,3.71,57.09,0,0.0,0,1,0,0,1,3.05,0,0.0,0,8,5.5,37.97,23.19,7.73,56.6,68.66,37.97,7.73,94.4,0.44,70.33,none,1,158.98,64.86
45,40,F,167.6,82.9,37.78,1.79,12.35,32.9,50.25,8.75,1.0,17.44,57.6,15.96,7.9,44.08,9.94,20.49,19.82,47.15,1.51,19.03,1,45.92,1,1,0,0,1,4.29,1,8.49,1,1,5.5,31.67,28.91,9.49,84.14,83.62,31.67,9.49,84.12,3.65,67.28,none,0,116.73,45.82
46,31,M,179.6,85.7,52.64,19.55,34.37,58.72,27.25,54.53,28.27,32.07,43.59,27.42,12.03,38.25,39.52,40.47,30.1,28.95,1.55,25.43,0,0.0,0,1,0,0,0,0.0,0,0.0,0,5,5.5,61.71,58.7,30.06,10.74,86.17,61.71,30.06,48.2,9.58,63.25,none,0,75.7,34.84
47,34,M,180.7,88.3,58.38,13.18,49.34,63.59,15.6,58.64,38.15,54.15,82.74,37.21,0.92,30.65,42.27,44.06,62.55,18.22,15.79,50.03,0,0.0,0,0,0,0,1,1.29,0,0.0,0,2,5.5,43.23,9.66,8.85,17.5,41.79,72.05,8.85,111.94,0.43,71.52,none,1,141.45,64.51
48,50,M,186.7,105.0,73.88,47.0,64.94,70.29,88.39,50.75,39.84,59.43,86.93,62.97,1.61,8.99,6.85,11.7,57.48,86.87,17.25,63.74,1,70.41,1,1,1,3,0,0.0,1,7.91,1,4,5.5,68.56,27.89,12.82,77.98,58.36,68.56,12.82,88.09,0.8,69.64,none,1,217.97,89.92
49,44,F,173.7,99.9,57.19,11.23,44.36,49.26,75.82,11.51,11.03,34.9,61.09,29.46,2.51,16.86,0.0,8.78,20.14,78.06,3.92,31.64,1,81.06,1,1,1,4,1,5.0,1,10.0,1,4,4.88,30.97,20.65,4.36,100.0,65.05,30.97,4.36,97.96,0.71,70.79,none,0,203.07,77.02
50,36,F,178.8,94.4,64.53,37.2,65.28,60.69,53.23,60.12,36.07,26.47,46.41,9.73,2.76,9.59,0.0,6.76,24.08,52.63,4.65,23.29,1,56.41,1,1,1,4,1,5.0,1,10.0,0,1,5.5,64.88,30.07,14.42,100.0,62.81,64.88,14.42,85.56,1.22,69.62,none,1,128.49,60.97
51,39,F,173.0,92.5,54.41,64.43,51.63,53.75,70.13,80.47,46.49,42.99,61.11,55.27,7.55,31.71,35.57,39.85,32.27,66.5,15.49,35.39,0,0.0,1,0,1,2,0,0.0,1,4.06,0,end,5.5,54.1,34.65,21.34,37.52,55.52,54.1,21.34,81.82,2.47,71.04,trap_exit,1,202.92,73.61
52,41,M,185.0,101.9,76.54,30.98,66.31,73.63,62.29,38.59,32.12,38.67,54.66,31.01,19.44,23.62,26.91,28.75,35.92,51.89,1.18,37.21,0,0.0,0,1,0,0,0,0.0,0,0.0,0,6,5.5,17.65,50.76,44.72,25.48,100.0,70.59,44.72,47.44,7.25,52.21,darkness,0,67.14,24.17
53,44,F,172.9,87.3,47.16,55.87,47.57,49.39,84.24,58.87,34.49,38.83,67.99,1.0,6.24,29.5,48.88,53.03,11.13,77.12,34.09,34.01,1,28.29,0,0,1,2,0,0.0,0,0.0,1,8,3.85,15.44,38.68,20.25,29.8,10.94,15.44,20.25,78.05,2.43,71.98,none,1,200.42,74.59
54,34,F,178.0,88.8,70.58,61.43,61.74,77.39,81.75,72.16,45.76,37.5,42.39,62.76,27.8,33.39,35.96,44.24,16.43,57.42,7.41,30.15,1,45.44,0,0,1,3,0,0.0,0,0.0,1,8,5.5,37.9,60.63,47.03,53.53,56.55,37.9,47.03,48.63,0.32,66.98,none,1,143.41,62.99
55,38,M,193.6,105.0,86.38,29.04,78.26,87.64,65.04,42.3,34.96,48.03,44.4,60.84,34.06,21.35,28.64,38.87,21.92,43.0,7.23,41.11,1,44.72,1,1,1,3,1,3.39,0,0.0,1,5,5.5,47.48,18.29,18.22,64.11,51.18,47.48,18.22,97.97,24.67,68.77,none,1,143.43,60.54
56,32,M,186.7,94.3,80.58,25.05,70.84,80.29,62.35,31.58,26.61,59.46,65.48,6.0,6.0,40.59,66.79,69.06,29.83,55.02,14.91,53.05,1,13.06,0,1,0,0,0,0.0,0,0.0,1,8,5.5,43.52,36.6,30.05,14.5,37.51,43.52,30.05,75.56,1.69,67.27,none,1,111.1,52.27
57,32,M,172.1,71.7,38.9,23.06,31.7,35.81,38.31,56.03,27.66,29.21,79.69,33.71,4.01,11.39,4.58,6.98,61.78,28.35,3.71,29.04,0,0.0,1,1,1,3,1,3.76,1,7.37,0,0,5.5,77.33,23.15,18.98,72.34,80.6,77.33,18.98,91.43,1.28,67.98,none,1,139.27,59.07
58,43,F,177.1,100.6,63.67,66.83,61.38,67.23,85.97,72.71,45.86,29.13,50.23,39.96,5.41,17.85,0.0,10.72,19.7,78.94,4.34,29.06,1,84.28,1,1,1,4,1,5.0,1,10.0,1,1,5.5,43.0,41.36,18.17,100.0,77.43,43.0,18.17,73.0,1.72,70.07,none,1,189.3,72.63
59,48,M,192.6,105.0,83.85,43.94,70.1,78.96,90.98,41.98,36.15,33.05,38.45,57.82,10.87,33.17,33.36,41.88,20.09,84.7,1.47,31.02,1,55.63,0,1,1,3,1,3.02,1,5.83,0,0,5.5,51.33,42.13,27.48,56.08,91.14,51.33,27.48,63.84,1.63,61.51,none,0,114.6,55.71
60,28,M,186.0,105.0,90.74,18.5,89.07,91.78,21.86,65.81,59.44,42.98,40.71,40.87,2.86,7.51,10.91,13.43,37.22,28.1,5.37,38.76,0,0.0,1,0,0,0,1,2.91,1,5.6,1,2,4.5,51.79,33.86,6.06,53.64,59.93,86.32,6.06,83.4,1.94,71.62,none,1,180.98,67.75
61,35,M,172.1,79.0,37.92,29.61,31.46,38.37,45.57,50.73,23.47,31.07,80.3,4.99,7.54,14.75,10.04,12.53,12.78,45.91,5.34,26.48,0,0.0,0,1,0,0,0,0.0,0,0.0,1,3,5.5,16.81,65.58,57.37,55.36,62.19,16.81,57.37,40.07,4.95,61.63,none,0,141.72,47.63
62,28,F,176.8,83.0,50.46,39.15,47.87,54.71,60.5,91.5,50.72,5.96,13.98,31.74,7.64,10.25,0.0,6.35,3.11,48.37,1.77,8.33,1,54.75,1,1,1,4,1,5.0,1,10.0,1,1,4.43,19.13,48.75,9.92,100.0,55.89,19.13,9.92,66.2,5.1,72.15,none,1,138.08,61.53
63,45,F,187.7,98.9,73.44,43.89,68.69,39.53,79.02,55.48,38.31,66.93,90.08,47.19,0.74,8.76,9.4,18.8,62.4,81.91,66.36,63.6,1,70.34,0,0,1,4,0,0.0,1,8.42,1,7,4.73,69.23,39.6,29.93,83.35,7.37,69.23,29.93,76.72,0.22,71.75,flooding,1,240.0,96.29
64,35,M,179.6,93.7,69.47,39.07,53.79,63.56,64.1,57.62,36.64,37.4,58.24,23.17,22.71,17.32,7.82,17.18,21.58,53.19,6.04,36.44,1,61.02,0,1,1,4,1,4.36,1,8.64,1,2,5.5,24.04,22.38,16.91,85.69,62.66,40.06,16.91,94.25,10.08,69.49,none,1,126.13,58.48
65,33,F,176.2,90.6,59.51,20.35,46.54,60.78,74.63,26.4,20.89,15.5,20.43,36.45,16.83,59.91,61.35,64.72,17.3,65.88,0.94,12.7,1,21.21,1,1,0,0,0,0.0,0,0.0,1,2,5.5,47.72,78.07,65.13,21.54,87.28,79.54,65.13,20.76,12.38,43.62,none,0,46.81,12.26
66,28,M,183.5,99.2,73.59,7.85,69.0,67.47,22.78,36.45,31.2,48.6,56.17,87.97,2.68,5.25,2.51,6.79,31.15,14.63,7.89,43.17,0,0.0,1,1,1,4,1,4.53,1,9.0,1,4,4.81,52.41,21.21,8.5,89.52,44.67,52.41,8.5,97.32,0.95,70.8,none,1,175.14,77.69
67,43,F,170.9,90.9,35.32,46.63,46.46,44.63,88.8,66.15,27.42,17.9,48.86,43.54,2.78,14.92,12.7,19.13,27.65,81.82,26.14,20.49,1,62.32,0,1,1,3,0,0.0,1,7.31,1,0,3.82,57.39,21.72,7.74,71.69,27.0,57.39,7.74,98.22,1.96,71.95,none,1,197.01,87.4
68,42,F,168.0,83.8,36.04,23.89,35.14,12.03,81.57,29.82,12.57,10.41,35.77,97.4,12.51,3.55,5.3,5.63,7.99,72.04,16.47,12.37,0,0.0,0,0,0,0,0,0.0,0,0.0,0,7,3.15,20.51,20.7,7.36,23.76,12.3,20.51,7.36,99.58,4.11,72.06,flooding,1,235.1,85.66
69,26,F,168.8,83.2,40.28,1.0,38.7,48.12,8.34,28.76,17.01,16.84,39.1,71.69,6.31,50.89,52.83,58.54,15.09,11.2,3.03,18.24,0,0.0,0,1,0,0,1,2.08,1,3.83,0,0,5.5,40.36,17.08,10.69,35.1,55.3,40.36,10.69,100.26,1.87,69.43,none,0,145.58,60.27
70,35,F,177.4,99.5,57.03,50.18,55.47,63.09,61.77,65.5,37.02,24.21,53.01,27.65,12.26,15.76,6.09,14.1,37.17,58.54,12.47,30.0,1,60.02,0,1,1,4,1,4.41,1,8.75,0,end,5.5,72.12,54.91,38.47,86.8,55.56,72.12,38.47,54.8,4.18,66.77,trap_exit,1,149.87,64.06
71,28,M,165.7,66.8,20.37,7.93,17.48,23.24,12.14,27.12,6.67,18.71,61.12,49.8,6.45,28.36,10.62,14.67,32.35,14.74,1.11,13.58,1,14.83,1,0,0,0,1,3.45,1,6.74,0,6,5.5,12.89,62.6,37.03,65.63,91.02,51.55,37.03,37.96,3.23,53.37,darkness,0,102.64,39.4
72,24,M,180.4,79.8,55.55,17.94,53.93,51.82,22.64,53.52,30.46,10.79,14.72,61.42,27.12,4.34,0.0,8.55,4.84,17.93,6.68,8.5,1,28.37,1,1,1,4,1,5.0,1,10.0,0,1,3.92,30.61,40.86,21.95,100.0,11.11,30.61,21.95,75.18,20.39,71.7,none,1,168.41,71.75
73,40,F,168.6,91.5,38.19,27.0,28.27,30.51,55.63,37.67,20.68,17.66,63.92,32.58,0.93,27.49,28.43,30.49,27.34,52.22,8.24,22.86,0,0.0,1,1,0,0,0,0.0,0,0.0,1,0,4.14,42.19,54.93,10.37,26.62,50.9,42.19,10.37,57.26,0.55,70.08,none,1,143.95,62.81
74,21,M,165.7,67.4,29.97,14.75,13.3,17.85,9.91,56.58,10.26,11.32,50.88,34.52,15.32,68.42,17.67,27.27,38.45,13.98,2.24,12.8,1,16.47,0,0,0,0,1,3.79,1,7.44,1,7,5.5,62.86,5.87,5.54,73.1,78.65,62.86,5.54,115.88,3.55,71.17,flooding,0,56.48,30.9
75,39,F,175.5,98.8,61.74,28.46,63.7,55.45,56.24,46.8,33.7,36.92,60.34,72.96,7.87,4.31,4.39,4.67,38.02,50.37,1.3,41.14,1,17.45,0,1,1,2,0,0.0,1,2.78,0,6,5.5,14.93,91.84,73.57,23.98,100.0,59.71,73.57,10.66,1.04,42.09,darkness,0,103.19,42.77
76,30,M,184.7,94.7,65.0,20.03,59.9,73.62,41.5,42.77,34.8,15.76,34.53,42.53,47.6,20.62,17.0,20.79,7.55,19.66,0.4,17.6,0,0.0,0,1,0,0,1,2.87,1,5.51,0,6,5.5,7.29,46.68,38.5,52.72,97.16,29.18,38.5,55.05,9.61,56.81,darkness,0,56.14,20.08
77,43,F,179.4,96.1,68.02,14.92,50.6,69.93,66.64,18.97,18.33,45.21,60.02,13.69,12.38,73.26,87.69,88.91,37.4,53.08,1.43,43.36,0,0.0,0,1,0,0,0,0.0,1,1.12,1,6,5.5,14.24,66.89,55.47,6.51,91.35,56.96,55.47,28.57,8.75,43.21,darkness,0,58.14,13.24
